# lB = 53.4
# phi_P = -3.
# I1 = 1.
# I2 = 0.85
# e1 = 72.
# e2 = 62.
# k1 = 0.10594846909174536
# k2 = 0.10526271127720371
# dx = 0.5
# dz = 0.5
# L = 100.
# M = 200
# N = 200
# r s phi(r,s)
0 0 -3.
0 1 -2.821994115085909
0 2 -2.65314473720474
0 3 -2.4929800158720954
0 4 -2.341054014918516
0 5 -2.196942536527361
0 6 -2.0602440438707057
0 7 -1.9305769986895984
0 8 -1.8075800286317871
0 9 -1.690909890586972
0 10 -1.5802413985307604
0 11 -1.4752657390963417
0 12 -1.3756903040331283
0 13 -1.2812372475678657
0 14 -1.19164328303711
0 15 -1.1066584230342822
0 16 -1.0260457688175637
0 17 -0.9495803964541634
0 18 -0.877049153665215
0 19 -0.8082496666359291
0 20 -0.742990151890964
0 21 -0.6810885251029607
0 22 -0.6223722317343808
0 23 -0.5666774434107886
0 24 -0.5138489088626099
0 25 -0.46373922630867825
0 26 -0.41620871494366524
0 27 -0.3711247538425322
0 28 -0.32836167348382744
0 29 -0.28780015323114577
0 30 -0.24932713194786416
0 31 -0.21283525730819314
0 32 -0.17822281432296516
0 33 -0.14539322068459248
0 34 -0.11425497191250716
0 35 -0.08472117771010607
0 36 -0.056709522406395596
0 37 -0.030141837943262972
0 38 -0.004944078307649258
0 39 0.018954074695252843
0 40 0.04161922427641207
0 41 0.0631146234920631
0 42 0.08350017653499986
0 43 0.10283277716332007
0 44 0.12116629956196973
0 45 0.1385519130309688
0 46 0.15503806344911225
0 47 0.17067076658816893
0 48 0.18549358112833003
0 49 0.19954788270860652
0 50 0.21287282936270702
0 51 0.22550561819101378
0 52 0.23748144400766305
0 53 0.24883374032142597
0 54 0.25959413191073916
0 55 0.26979266162582893
0 56 0.2794577375388152
0 57 0.2886163469243872
0 58 0.2972939985670814
0 59 0.3055149251401552
0 60 0.3133020211917703
0 61 0.3206770350191882
0 62 0.32766050279977355
0 63 0.3342719309484226
0 64 0.3405297268078393
0 65 0.34645137237956347
0 66 0.3520533519406744
0 67 0.35735131795149866
0 68 0.36236001592246625
0 69 0.3670934432234342
0 70 0.37156477148453554
0 71 0.3757864989619145
0 72 0.3797703707198788
0 73 0.38352752514481786
0 74 0.3870684121224073
0 75 0.3904029342347871
0 76 0.39354036311573537
0 77 0.39648947581508454
0 78 0.3992584694864096
0 79 0.4018550933565043
0 80 0.4042865618739475
0 81 0.4065596826797366
0 82 0.40868076832083516
0 83 0.4106557605802047
0 84 0.4124901408369263
0 85 0.4141890510794626
0 86 0.4157572029728478
0 87 0.4171989958476906
0 88 0.4185184245151175
0 89 0.4197191944953257
0 90 0.42080462860220563
0 91 0.4217777796489319
0 92 0.42264133580627666
0 93 0.4233977309984318
0 94 0.42404904902175106
0 95 0.42459713182149794
0 96 0.42504348234095496
0 97 0.4253893708487717
0 98 0.4256357364718923
0 99 0.4257832917234142
0 100 0.42583242265638077
0 101 0.4257832917234141
0 102 0.42563573647189235
0 103 0.4253893708487717
0 104 0.42504348234095496
0 105 0.42459713182149794
0 106 0.42404904902175106
0 107 0.4233977309984318
0 108 0.4226413358062768
0 109 0.4217777796489319
0 110 0.4208046286022055
0 111 0.4197191944953257
0 112 0.41851842451511756
0 113 0.4171989958476906
0 114 0.4157572029728478
0 115 0.4141890510794624
0 116 0.4124901408369264
0 117 0.41065576058020486
0 118 0.40868076832083505
0 119 0.40655968267973647
0 120 0.4042865618739474
0 121 0.4018550933565043
0 122 0.39925846948640964
0 123 0.39648947581508454
0 124 0.3935403631157353
0 125 0.39040293423478695
0 126 0.3870684121224072
0 127 0.38352752514481797
0 128 0.37977037071987885
0 129 0.37578649896191463
0 130 0.37156477148453554
0 131 0.3670934432234342
0 132 0.36236001592246625
0 133 0.35735131795149855
0 134 0.35205335194067444
0 135 0.3464513723795637
0 136 0.340529726807839
0 137 0.3342719309484227
0 138 0.32766050279977355
0 139 0.3206770350191882
0 140 0.31330202119177025
0 141 0.3055149251401551
0 142 0.2972939985670814
0 143 0.2886163469243872
0 144 0.2794577375388152
0 145 0.2697926616258288
0 146 0.25959413191073927
0 147 0.24883374032142602
0 148 0.23748144400766288
0 149 0.22550561819101378
0 150 0.2128728293627068
0 151 0.19954788270860652
0 152 0.18549358112833014
0 153 0.17067076658816893
0 154 0.15503806344911236
0 155 0.13855191303096887
0 156 0.12116629956196978
0 157 0.10283277716332018
0 158 0.08350017653499991
0 159 0.06311462349206315
0 160 0.04161922427641207
0 161 0.018954074695252787
0 162 -0.004944078307649258
0 163 -0.030141837943262972
0 164 -0.05670952240639565
0 165 -0.08472117771010601
0 166 -0.11425497191250733
0 167 -0.14539322068459248
0 168 -0.17822281432296516
0 169 -0.21283525730819325
0 170 -0.24932713194786416
0 171 -0.2878001532311457
0 172 -0.32836167348382717
0 173 -0.37112475384253224
0 174 -0.4162087149436653
0 175 -0.46373922630867814
0 176 -0.5138489088626098
0 177 -0.5666774434107886
0 178 -0.6223722317343808
0 179 -0.6810885251029606
0 180 -0.742990151890964
0 181 -0.808249666635929
0 182 -0.877049153665215
0 183 -0.9495803964541635
0 184 -1.0260457688175637
0 185 -1.1066584230342822
0 186 -1.1916432830371102
0 187 -1.281237247567866
0 188 -1.3756903040331285
0 189 -1.4752657390963417
0 190 -1.5802413985307604
0 191 -1.6909098905869722
0 192 -1.807580028631787
0 193 -1.9305769986895982
0 194 -2.0602440438707057
0 195 -2.196942536527361
0 196 -2.341054014918516
0 197 -2.492980015872095
0 198 -2.65314473720474
0 199 -2.8219941150859085
0 200 -3.
1 0 -3.
1 1 -2.8247164164732963
1 2 -2.6579444329356776
1 3 -2.499488850258177
1 4 -2.349022883271247
1 5 -2.2061866114742643
1 6 -2.0706174475367947
1 7 -1.9419608047046966
1 8 -1.819874314518186
1 9 -1.704029522088115
1 10 -1.5941124547200833
1 11 -1.489823640049382
1 12 -1.3908778397578496
1 13 -1.297003632652102
1 14 -1.2079429188982926
1 15 -1.1234503859113858
1 16 -1.043292959608795
1 17 -0.9672492552711556
1 18 -0.8951090366912307
1 19 -0.8266726889091245
1 20 -0.7617507077172203
1 21 -0.7001632077641179
1 22 -0.6417394502055476
1 23 -0.5863173902680869
1 24 -0.5337432447051229
1 25 -0.48387107886664704
1 26 -0.43656241293454995
1 27 -0.39168584676402673
1 28 -0.3491167027025587
1 29 -0.3087366857169175
1 30 -0.2704335601385101
1 31 -0.2341008423308249
1 32 -0.1996375085868583
1 33 -0.1669477175750146
1 34 -0.13594054666794947
1 35 -0.1065297415076426
1 36 -0.07863347818151878
1 37 -0.052174137406751975
1 38 -0.027078090143485112
1 39 -0.003275494081075969
1 40 0.019299899534671705
1 41 0.0407109292423084
1 42 0.061017197359461206
1 43 0.08027523509533557
1 44 0.09853865922301575
1 45 0.11585832073289765
1 46 0.13228244586822313
1 47 0.14785676992453045
1 48 0.16262466417601262
1 49 0.17662725627415365
1 50 0.18990354444677277
1 51 0.20249050580946293
1 52 0.21442319908563615
1 53 0.22573486201672238
1 54 0.2364570037296848
1 55 0.24661949231564512
1 56 0.25625063786038726
1 57 0.2653772711553586
1 58 0.27402481830594605
1 59 0.28221737144281983
1 60 0.2899777557313886
1 61 0.2973275928644617
1 62 0.3042873612134759
1 63 0.3108764528046273
1 64 0.31711322727744073
1 65 0.3230150629751495
1 66 0.328598405308261
1 67 0.33387881252530893
1 68 0.3388709990175378
1 69 0.34358887627759965
1 70 0.3480455916257634
1 71 0.3522535648110561
1 72 0.35622452258884696
1 73 0.3599695313708414
1 74 0.3634990280380455
1 75 0.3668228490022874
1 76 0.36995025759693334
1 77 0.37288996987290585
1 78 0.3756501788715891
1 79 0.3782385774421227
1 80 0.3806623796663925
1 81 0.3829283409513358
1 82 0.38504277684430416
1 83 0.3870115806238815
1 84 0.38884023971494264
1 85 0.3905338509736909
1 86 0.3920971348850752
1 87 0.3935344487121472
1 88 0.394849798633835
1 89 0.39604685090498115
1 90 0.3971289420695838
1 91 0.39809908825573503
1 92 0.39895999357804307
1 93 0.39971405767094836
1 94 0.40036338237386976
1 95 0.40090977758679025
1 96 0.40135476631255007
1 97 0.4016995888999148
1 98 0.4019452064991678
1 99 0.40209230373989646
1 100 0.40214129063837706
1 101 0.40209230373989646
1 102 0.4019452064991679
1 103 0.40169958889991475
1 104 0.40135476631255007
1 105 0.40090977758679036
1 106 0.40036338237386976
1 107 0.39971405767094836
1 108 0.3989599935780431
1 109 0.39809908825573503
1 110 0.3971289420695839
1 111 0.3960468509049812
1 112 0.394849798633835
1 113 0.3935344487121473
1 114 0.3920971348850752
1 115 0.3905338509736908
1 116 0.38884023971494264
1 117 0.38701158062388175
1 118 0.3850427768443042
1 119 0.38292834095133577
1 120 0.3806623796663925
1 121 0.3782385774421227
1 122 0.37565017887158897
1 123 0.37288996987290574
1 124 0.36995025759693334
1 125 0.36682284900228723
1 126 0.3634990280380457
1 127 0.35996953137084153
1 128 0.3562245225888468
1 129 0.35225356481105613
1 130 0.3480455916257633
1 131 0.34358887627759965
1 132 0.3388709990175378
1 133 0.3338788125253089
1 134 0.3285984053082611
1 135 0.3230150629751496
1 136 0.3171132272774407
1 137 0.31087645280462745
1 138 0.304287361213476
1 139 0.29732759286446164
1 140 0.28997775573138845
1 141 0.2822173714428198
1 142 0.27402481830594605
1 143 0.2653772711553587
1 144 0.25625063786038726
1 145 0.24661949231564495
1 146 0.2364570037296847
1 147 0.22573486201672238
1 148 0.21442319908563598
1 149 0.20249050580946282
1 150 0.18990354444677288
1 151 0.17662725627415365
1 152 0.1626246641760128
1 153 0.1478567699245304
1 154 0.13228244586822324
1 155 0.11585832073289776
1 156 0.09853865922301597
1 157 0.08027523509533557
1 158 0.06101719735946126
1 159 0.04071092924230846
1 160 0.01929989953467187
1 161 -0.0032754940810761912
1 162 -0.027078090143485112
1 163 -0.05217413740675192
1 164 -0.07863347818151878
1 165 -0.1065297415076426
1 166 -0.13594054666794958
1 167 -0.16694771757501453
1 168 -0.19963750858685825
1 169 -0.23410084233082495
1 170 -0.27043356013851005
1 171 -0.30873668571691737
1 172 -0.3491167027025587
1 173 -0.3916858467640268
1 174 -0.43656241293454995
1 175 -0.48387107886664704
1 176 -0.5337432447051228
1 177 -0.5863173902680869
1 178 -0.6417394502055477
1 179 -0.7001632077641178
1 180 -0.7617507077172203
1 181 -0.8266726889091242
1 182 -0.8951090366912307
1 183 -0.9672492552711557
1 184 -1.043292959608795
1 185 -1.1234503859113858
1 186 -1.2079429188982929
1 187 -1.297003632652102
1 188 -1.3908778397578496
1 189 -1.489823640049382
1 190 -1.5941124547200833
1 191 -1.7040295220881152
1 192 -1.8198743145181857
1 193 -1.9419608047046963
1 194 -2.0706174475367947
1 195 -2.206186611474264
1 196 -2.349022883271247
1 197 -2.4994888502581767
1 198 -2.6579444329356776
1 199 -2.824716416473296
1 200 -3.
2 0 -3.
2 1 -2.8267915333631604
2 2 -2.6618676021460934
2 3 -2.505016067533372
2 4 -2.3559520435083448
2 5 -2.2143542218233137
2 6 -2.0798892977088763
2 7 -1.9522246435819806
